    Finished release [optimized] target(s) in 0.06s
     Running `target/release/test 500`
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
[2019-12-26T19:25:26Z DEBUG hyper::client::connect::http] connecting to [::1]:50051
